episode,step,observation,action,reward
7,1,[ 1  2  2 32  1  2  0  2  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
7,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
7,3,[ 1  3  2 32  3  0  0  5  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
7,4,[ 1  2  1 35  4  2  0  6  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 35}",1
7,5,[0 2 0 5 3 3 0 7 5 1 1],"{'action': 0, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 5}",1
7,6,[  1   2   0  14   4   2 182   9   4   1   1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 14}",1
7,7,[ 0  2  0 37  3  2  0  8  4  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 37}",1
7,8,[ 1  2  0 45  4  1  0  9  3  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 45}",1
7,9,[ 1  0  1 30  5  1  0 10  2  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 30}",1
7,10,[ 0  1  1 58  4  1  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 58}",1
7,11,[ 0  4  0 21  3  1  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 21}",1
7,12,[ 1  1  1 26  4  0  0 10  1  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 26}",1
7,13,[ 0  3  0 55  3  1  0  9  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 55}",1
7,14,[ 0  0  0 42  2  1  0  8  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 42}",1
7,15,[0 0 0 9 1 1 0 7 1 1 1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 9}",1
7,16,[ 1  2  0 57  2  0  0  8  0  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 57}",1
7,17,[ 0  3  0 53  1  0  0  7  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 53}",1
7,18,[ 0  3  1 39  0  0  0  7  0  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 39}",1
