episode,step,observation,action,reward
8,1,[ 1  2  2 32  1  2  0  2  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
8,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
8,3,[ 1  3  2 32  3  0  0  5  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
8,4,[ 1  3  1 35  4  2  0  8  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 35}",1
8,5,[ 1  0  0 52  5  2  0  9  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 52}",1
8,6,[ 0  3  1 49  4  2  0  8  4  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 49}",1
8,7,[ 0  1  0 21  3  2  0  7  4  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 21}",1
8,8,[ 1  2  0 45  4  1  0  8  3  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 45}",1
8,9,[ 1  2  1 47  5  1  0  9  2  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 47}",1
8,10,[ 0  3  0 29  4  1  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 29}",1
8,11,[ 0  0  1 42  3  1  0  8  2  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 42}",1
8,12,[ 0  3  0 30  2  1  0  8  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 30}",1
8,13,[ 1  1  0 58  3  0  0  9  1  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 58}",1
8,14,[ 1  2  1 35  4  0  1 12  0  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 35}",1
8,15,[ 0  3  0 41  3  0  0 11  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 41}",1
8,16,[ 0  0  0 26  2  0  0 10  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 26}",1
8,17,[ 0  0  1 53  1  0  0  9  0  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 53}",1
8,18,[ 0  3  0 57  0  0  0  9  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 57}",1
