episode,step,observation,action,reward
2,1,[ 1  2  2 32  1  2  0  1  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
2,2,[ 1  3  2 32  2  1  0  2  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
2,3,[ 1  3  2 32  3  0  0  4  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
2,4,[ 1  3  1 35  4  2  0  6  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 35}",1
2,5,[ 0  4  0 35  3  3  0  6  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 35}",1
2,6,[ 1  2  0 22  4  2  0  7  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 22}",1
2,7,[  1   1   0  19   5   1 188   8   3   1   1],"{'action': 1, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 19}",1
2,8,[ 1  3  1 53  6  1  0 10  2  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 53}",1
2,9,[ 0  0  1 34  5  1  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 34}",1
2,10,[ 0  2  0 58  4  1  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 58}",1
2,11,[ 1  4  1 30  5  0  0 11  1  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 4, 'withdraw_call_address': 30}",1
2,12,[ 0  3  0 34  4  1  0 11  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 34}",1
2,13,[ 0  4  0 50  3  1  0 11  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 50}",1
2,14,[ 0  3  0 22  2  1  1 10  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 22}",1
2,15,[ 0  4  0 56  1  1  0 10  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 56}",1
2,16,[ 1  2  0 25  2  0  0 12  0  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 25}",1
2,17,[ 0  3  1  6  1  0  0 12  0  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 6}",1
2,18,[ 0  1  0  2  0  0  0 11  0  1  0],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 2}",1
