episode,step,observation,action,reward
3,1,[ 1  2  2 32  1  2  0  3  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
3,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
3,3,[ 1  3  2 32  3  0  0  7  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
3,4,[ 1  2  1 34  4  2  0  8  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 34}",1
3,5,[ 0  1  1 45  3  2  0  8  5  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 45}",1
3,6,[ 0  1  0 38  2  3  0  7  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 38}",1
3,7,[ 0  2  0 52  1  3  0  6  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 52}",1
3,8,[ 0  3  0 32  0  3  3  5  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 32}",1
3,9,[ 1  3  0 32  1  2  3  7  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 32}",1
3,10,[ 1  4  0 32  2  1  3  9  3  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 32}",1
3,11,[ 1  2  0 40  3  0  0 11  2  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 40}",1
3,12,[ 1  2  1 35  4  1  0 12  1  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 35}",1
3,13,[ 0  0  0 45  3  0  0 11  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 45}",1
3,14,[ 1  3  1 58  4  0  0 12  0  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 58}",1
3,15,[ 0  3  1  2  3  0  0 13  0  1  0],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 2}",1
3,16,[ 0  3  1  1  2  0  0 13  0  1  0],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 1}",1
3,17,[ 0  0  0 48  1  0  0 12  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 48}",1
3,18,[ 0  4  0  6  0  0  0 12  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 6}",1
