episode,step,observation,action,reward
9,1,[ 1  2  2 32  1  2  0  1  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
9,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
9,3,[ 1  3  2 32  3  0  0  7  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
9,4,[ 1  2  1 32  4  2  0  8  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 32}",1
9,5,[ 1  2  0 32  5  2  0 10  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 32}",1
9,6,[ 0  0  1 29  4  2  0  9  4  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 29}",1
9,7,[ 1  0  1 54  5  1  0 10  3  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 54}",1
9,8,[ 0  4  0 48  4  2  0 10  3  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 48}",1
9,9,[ 1  1  0 42  5  1  0 12  2  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 42}",1
9,10,[ 0  0  1 42  4  1  1 11  2  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 42}",1
9,11,[ 0  3  0 42  3  1  1 10  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 42}",1
9,12,[ 1  4  1 36  4  0  0 14  1  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 4, 'withdraw_call_address': 36}",1
9,13,[ 0  1  0 39  3  1  0 13  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 39}",1
9,14,[ 1  2  0 54  4  0  1 15  0  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 54}",1
9,15,[ 0  3  0  7  3  0  0 15  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 7}",1
9,16,[ 0  3  1  2  2  0  0 15  0  1  0],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 2}",1
9,17,[ 0  4  0 38  1  0  0 14  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 38}",1
9,18,[ 0  2  1 57  0  0  0 13  0  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 57}",1
