episode,step,observation,action,reward
1,1,[ 1  2  2 32  1  2  0  1  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
1,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
1,3,[ 1  3  2 32  3  0  0  5  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
1,4,[ 1  2  1 35  4  2  0  7  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 35}",1
1,5,[ 0  1  0 46  3  3  0  6  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 46}",1
1,6,[ 1  0  0 41  4  2  0  7  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 41}",1
1,7,[ 1  4  0 20  5  1  0  9  3  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 20}",1
1,8,[  1   3   1  18   6   1 163  10   2   1   1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 18}",1
1,9,[ 0  1  0 30  5  1  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 30}",1
1,10,[ 1  0  0 20  6  0  0 10  1  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 20}",1
1,11,[ 0  2  1 29  5  1  0  9  1  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 29}",1
1,12,[ 0  4  0 41  4  0  1  8  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 41}",1
1,13,[ 0  0  1 30  3  1  0  7  1  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 30}",1
1,14,[ 0  0  1 40  2  1  0  6  1  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 40}",1
1,15,[0 3 0 7 1 0 0 5 1 1 1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 7}",1
1,16,[ 1  3  1 54  2  0  0  8  0  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 54}",1
1,17,[ 0  3  0 55  1  0  0  7  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 55}",1
1,18,[ 0  3  0 21  0  0  0  6  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 21}",1
