episode,step,observation,action,reward
4,1,[ 1  2  2 32  1  2  0  2  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
4,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
4,3,[ 1  2  2 32  3  0  0  6  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
4,4,[ 1  1  1 50  4  2  0  7  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 50}",1
4,5,[ 0  1  0 52  3  3  0  6  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 52}",1
4,6,[ 1  1  0 27  4  2  0  7  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 27}",1
4,7,[  1   4   1  14   5   1 177   8   3   1   1],"{'action': 1, 'deposit_call_address': 1, 'time': 4, 'withdraw_call_address': 14}",1
4,8,[ 0  0  1 36  4  1  0  7  3  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 36}",1
4,9,[ 1  0  1 30  5  0  0  8  2  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 30}",1
4,10,[ 0  4  0 57  4  2  0  9  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 57}",1
4,11,[ 0  0  0 54  3  2  0  8  2  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 54}",1
4,12,[ 1  3  0 58  4  1  0 12  1  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 58}",1
4,13,[ 0  0  0 55  3  1  0 11  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 0, 'withdraw_call_address': 55}",1
4,14,[ 1  2  0 21  4  0  0 13  0  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 21}",1
4,15,[ 0  2  1  0  3  0  0 12  0  1  0],"{'action': 0, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 0}",1
4,16,[ 0  4  0 41  2  0  0 11  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 41}",1
4,17,[ 0  1  1 29  1  0  0 10  0  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 29}",1
4,18,[ 0  4  0 54  0  0  0  9  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 54}",1
