episode,step,observation,action,reward
0,1,[ 1  2  2 32  1  2  0  1  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
0,2,[ 1  3  2 32  2  1  0  4  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
0,3,[ 1  3  2 32  3  0  0  5  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
0,4,[ 1  3  1 57  4  2  0  7  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 57}",1
0,5,[ 0  1  0 52  3  3  0  7  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 52}",1
0,6,[ 1  4  0 47  4  2  0  8  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 4, 'withdraw_call_address': 47}",1
0,7,[ 1  1  1 37  5  1  0  9  3  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 37}",1
0,8,[ 0  2  0 20  4  2  0  8  3  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 20}",1
0,9,[  0   2   1  17   3   1 144   7   3   1   1],"{'action': 0, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 17}",1
0,10,[ 0  3  0 22  2  2  0  6  3  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 22}",1
0,11,[ 0  3  0 27  1  2  0  6  3  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 27}",1
0,12,[ 1  2  0 32  2  1  3  7  2  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 32}",1
0,13,[ 1  2  0 21  3  0  0  8  1  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 21}",1
0,14,[ 0  0  1 50  2  1  0  7  1  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 50}",1
0,15,[ 0  1  0 52  1  0  0  6  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 52}",1
0,16,[ 1  2  1 52  2  0  0  7  0  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 52}",1
0,17,[0 3 0 7 1 0 0 6 0 1 1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 7}",1
0,18,[ 0  1  1 37  0  0  1  5  0  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 37}",1
